,Unnamed: 0,belief_metric_threshold,n_edges,ratio_normal_user,mean_normal_user,mean_disinformer,high_media_lit,deffuant_mu,sampling_p_update,n_posts_estimate_similarity,del_t,mlit_select,rank_punish,rank_t,strikes_t,scenario,policy,model
20517,20517,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,7.0,8.0,5.0,3.0,reference,72789,MisinfoPy
20553,20553,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,7.0,9.0,5.0,3.0,reference,72825,MisinfoPy
20589,20589,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,7.0,10.0,5.0,3.0,reference,72861,MisinfoPy
20661,20661,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,8.0,1.0,5.0,3.0,reference,72933,MisinfoPy
20697,20697,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,8.0,2.0,5.0,3.0,reference,72969,MisinfoPy
20733,20733,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,8.0,3.0,5.0,3.0,reference,73005,MisinfoPy
20769,20769,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,8.0,4.0,5.0,3.0,reference,73041,MisinfoPy
20805,20805,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,8.0,5.0,5.0,3.0,reference,73077,MisinfoPy
20841,20841,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,8.0,6.0,5.0,3.0,reference,73113,MisinfoPy
20877,20877,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,8.0,7.0,5.0,3.0,reference,73149,MisinfoPy
20913,20913,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,8.0,8.0,5.0,3.0,reference,73185,MisinfoPy
20949,20949,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,8.0,9.0,5.0,3.0,reference,73221,MisinfoPy
20985,20985,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,8.0,10.0,5.0,3.0,reference,73257,MisinfoPy
21057,21057,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,9.0,1.0,5.0,3.0,reference,73329,MisinfoPy
21093,21093,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,9.0,2.0,5.0,3.0,reference,73365,MisinfoPy
21129,21129,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,9.0,3.0,5.0,3.0,reference,73401,MisinfoPy
21165,21165,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,9.0,4.0,5.0,3.0,reference,73437,MisinfoPy
21201,21201,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,9.0,5.0,5.0,3.0,reference,73473,MisinfoPy
21237,21237,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,9.0,6.0,5.0,3.0,reference,73509,MisinfoPy
21273,21273,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,9.0,7.0,5.0,3.0,reference,73545,MisinfoPy
21309,21309,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,9.0,8.0,5.0,3.0,reference,73581,MisinfoPy
21345,21345,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,9.0,9.0,5.0,3.0,reference,73617,MisinfoPy
21381,21381,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,9.0,10.0,5.0,3.0,reference,73653,MisinfoPy
21453,21453,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,10.0,1.0,5.0,3.0,reference,73725,MisinfoPy
21489,21489,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,10.0,2.0,5.0,3.0,reference,73761,MisinfoPy
21525,21525,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,10.0,3.0,5.0,3.0,reference,73797,MisinfoPy
21561,21561,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,10.0,4.0,5.0,3.0,reference,73833,MisinfoPy
21597,21597,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,10.0,5.0,5.0,3.0,reference,73869,MisinfoPy
21633,21633,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,10.0,6.0,5.0,3.0,reference,73905,MisinfoPy
21669,21669,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,10.0,7.0,5.0,3.0,reference,73941,MisinfoPy
21705,21705,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,10.0,8.0,5.0,3.0,reference,73977,MisinfoPy
21741,21741,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,10.0,9.0,5.0,3.0,reference,74013,MisinfoPy
21777,21777,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,10.0,10.0,5.0,3.0,reference,74049,MisinfoPy
